image_path,set_type
frames_dataset/train/frame_0081.png,train
frames_dataset/train/frame_0083.png,train
frames_dataset/train/frame_0084.png,train
frames_dataset/train/frame_0085.png,train
frames_dataset/train/frame_0088.png,train
frames_dataset/train/frame_0089.png,train
frames_dataset/train/frame_0092.png,train
frames_dataset/train/frame_0093.png,train
frames_dataset/train/frame_0094.png,train
frames_dataset/train/frame_0095.png,train
frames_dataset/train/frame_0096.png,train
frames_dataset/train/frame_0097.png,train
frames_dataset/train/frame_0098.png,train
frames_dataset/train/frame_0099.png,train
frames_dataset/train/frame_0100.png,train
frames_dataset/train/frame_0101.png,train
frames_dataset/train/frame_0102.png,train
frames_dataset/train/frame_0103.png,train
frames_dataset/train/frame_0104.png,train
frames_dataset/train/frame_0105.png,train
frames_dataset/train/frame_0106.png,train
frames_dataset/train/frame_0108.png,train
frames_dataset/train/frame_0110.png,train
frames_dataset/train/frame_0111.png,train
frames_dataset/train/frame_0112.png,train
frames_dataset/train/frame_0113.png,train
frames_dataset/train/frame_0115.png,train
frames_dataset/train/frame_0116.png,train
frames_dataset/train/frame_0118.png,train
frames_dataset/train/frame_0119.png,train
frames_dataset/train/frame_0121.png,train
frames_dataset/train/frame_0123.png,train
frames_dataset/train/frame_0125.png,train
frames_dataset/train/frame_0127.png,train
frames_dataset/train/frame_0129.png,train
frames_dataset/train/frame_0131.png,train
frames_dataset/train/frame_0133.png,train
frames_dataset/train/frame_0134.png,train
frames_dataset/train/frame_0135.png,train
frames_dataset/train/frame_0136.png,train
frames_dataset/train/frame_0138.png,train
frames_dataset/train/frame_0139.png,train
frames_dataset/train/frame_0140.png,train
frames_dataset/train/frame_0142.png,train
frames_dataset/train/frame_0144.png,train
frames_dataset/train/frame_0146.png,train
frames_dataset/train/frame_0148.png,train
frames_dataset/train/frame_0150.png,train
frames_dataset/train/frame_0152.png,train
frames_dataset/train/frame_0153.png,train
frames_dataset/train/frame_0154.png,train
frames_dataset/train/frame_0156.png,train
frames_dataset/train/frame_0158.png,train
frames_dataset/train/frame_0159.png,train
frames_dataset/train/frame_0160.png,train
frames_dataset/train/frame_0161.png,train
frames_dataset/train/frame_0163.png,train
frames_dataset/train/frame_0165.png,train
frames_dataset/train/frame_0166.png,train
frames_dataset/train/frame_0167.png,train
frames_dataset/train/frame_0168.png,train
frames_dataset/train/frame_0169.png,train
frames_dataset/train/frame_0170.png,train
frames_dataset/train/frame_0171.png,train
frames_dataset/train/frame_0173.png,train
frames_dataset/train/frame_0174.png,train
frames_dataset/train/frame_0176.png,train
frames_dataset/train/frame_0178.png,train
frames_dataset/train/frame_0180.png,train
frames_dataset/train/frame_0181.png,train
frames_dataset/train/frame_0183.png,train
frames_dataset/train/frame_0184.png,train
frames_dataset/train/frame_0185.png,train
frames_dataset/train/frame_0187.png,train
frames_dataset/train/frame_0189.png,train
frames_dataset/train/frame_0190.png,train
frames_dataset/train/frame_0192.png,train
frames_dataset/train/frame_0194.png,train
frames_dataset/train/frame_0195.png,train
frames_dataset/train/frame_0196.png,train
frames_dataset/train/frame_0198.png,train
frames_dataset/train/frame_0199.png,train
frames_dataset/train/frame_0200.png,train
frames_dataset/train/frame_0201.png,train
frames_dataset/train/frame_0202.png,train
frames_dataset/train/frame_0203.png,train
frames_dataset/train/frame_0204.png,train
frames_dataset/train/frame_0206.png,train
frames_dataset/train/frame_0207.png,train
frames_dataset/train/frame_0208.png,train
frames_dataset/train/frame_0209.png,train
frames_dataset/train/frame_0210.png,train
frames_dataset/train/frame_0211.png,train
frames_dataset/train/frame_0212.png,train
frames_dataset/train/frame_0214.png,train
frames_dataset/train/frame_0216.png,train
frames_dataset/train/frame_0218.png,train
frames_dataset/train/frame_0220.png,train
frames_dataset/train/frame_0222.png,train
frames_dataset/train/frame_0224.png,train
frames_dataset/train/frame_0226.png,train
frames_dataset/train/frame_0227.png,train
frames_dataset/train/frame_0228.png,train
frames_dataset/train/frame_0229.png,train
frames_dataset/train/frame_0230.png,train
frames_dataset/train/frame_0231.png,train
frames_dataset/train/frame_0233.png,train
frames_dataset/train/frame_0234.png,train
frames_dataset/train/frame_0235.png,train
frames_dataset/train/frame_0236.png,train
frames_dataset/train/frame_0237.png,train
frames_dataset/train/frame_0238.png,train
frames_dataset/train/frame_0239.png,train
frames_dataset/train/frame_0240.png,train
frames_dataset/train/frame_0241.png,train
frames_dataset/train/frame_0242.png,train
frames_dataset/train/frame_0244.png,train
frames_dataset/train/frame_0246.png,train
frames_dataset/train/frame_0248.png,train
frames_dataset/train/frame_0250.png,train
frames_dataset/train/frame_0252.png,train
frames_dataset/train/frame_0254.png,train
frames_dataset/train/frame_0255.png,train
frames_dataset/train/frame_0256.png,train
frames_dataset/train/frame_0257.png,train
frames_dataset/train/frame_0258.png,train
frames_dataset/train/frame_0259.png,train
frames_dataset/train/frame_0260.png,train
frames_dataset/train/frame_0261.png,train
frames_dataset/train/frame_0262.png,train
frames_dataset/train/frame_0263.png,train
frames_dataset/train/frame_0264.png,train
frames_dataset/train/frame_0266.png,train
frames_dataset/train/frame_0267.png,train
frames_dataset/train/frame_0268.png,train
frames_dataset/train/frame_0269.png,train
frames_dataset/train/frame_0270.png,train
frames_dataset/train/frame_0271.png,train
frames_dataset/train/frame_0272.png,train
frames_dataset/train/frame_0274.png,train
frames_dataset/train/frame_0275.png,train
frames_dataset/train/frame_0276.png,train
frames_dataset/train/frame_0277.png,train
frames_dataset/train/frame_0278.png,train
frames_dataset/train/frame_0279.png,train
frames_dataset/train/frame_0280.png,train
frames_dataset/train/frame_0282.png,train
frames_dataset/train/frame_0284.png,train
frames_dataset/train/frame_0285.png,train
frames_dataset/train/frame_0286.png,train
frames_dataset/train/frame_0287.png,train
frames_dataset/train/frame_0288.png,train
frames_dataset/train/frame_0290.png,train
frames_dataset/train/frame_0291.png,train
frames_dataset/train/frame_0292.png,train
frames_dataset/train/frame_0293.png,train
frames_dataset/train/frame_0294.png,train
frames_dataset/train/frame_0296.png,train
frames_dataset/train/frame_0297.png,train
frames_dataset/train/frame_0298.png,train
frames_dataset/train/frame_0299.png,train
frames_dataset/train/frame_0300.png,train
frames_dataset/train/frame_0301.png,train
frames_dataset/train/frame_0303.png,train
frames_dataset/train/frame_0305.png,train
frames_dataset/train/frame_0307.png,train
frames_dataset/train/frame_0308.png,train
frames_dataset/train/frame_0309.png,train
frames_dataset/train/frame_0310.png,train
frames_dataset/train/frame_0311.png,train
frames_dataset/train/frame_0312.png,train
frames_dataset/train/frame_0313.png,train
frames_dataset/train/frame_0315.png,train
frames_dataset/train/frame_0316.png,train
frames_dataset/train/frame_0317.png,train
frames_dataset/train/frame_0318.png,train
frames_dataset/train/frame_0319.png,train
frames_dataset/train/frame_0321.png,train
frames_dataset/train/frame_0322.png,train
frames_dataset/train/frame_0323.png,train
frames_dataset/train/frame_0325.png,train
frames_dataset/train/frame_0327.png,train
frames_dataset/train/frame_0328.png,train
frames_dataset/train/frame_0330.png,train
frames_dataset/train/frame_0332.png,train
frames_dataset/train/frame_0334.png,train
frames_dataset/train/frame_0335.png,train
frames_dataset/train/frame_0337.png,train
frames_dataset/train/frame_0339.png,train
frames_dataset/train/frame_0341.png,train
frames_dataset/train/frame_0342.png,train
frames_dataset/train/frame_0344.png,train
frames_dataset/train/frame_0345.png,train
frames_dataset/train/frame_0346.png,train
frames_dataset/train/frame_0348.png,train
frames_dataset/train/frame_0349.png,train
frames_dataset/train/frame_0350.png,train
frames_dataset/train/frame_0351.png,train
frames_dataset/train/frame_0353.png,train
frames_dataset/train/frame_0355.png,train
frames_dataset/train/frame_0358.png,train
frames_dataset/train/frame_0360.png,train
frames_dataset/train/frame_0362.png,train
frames_dataset/train/frame_0363.png,train
frames_dataset/train/frame_0364.png,train
frames_dataset/train/frame_0365.png,train
frames_dataset/train/frame_0367.png,train
frames_dataset/train/frame_0368.png,train
frames_dataset/train/frame_0369.png,train
frames_dataset/train/frame_0370.png,train
frames_dataset/train/frame_0371.png,train
frames_dataset/train/frame_0372.png,train
frames_dataset/train/frame_0374.png,train
frames_dataset/train/frame_0376.png,train
frames_dataset/train/frame_0378.png,train
frames_dataset/train/frame_0379.png,train
frames_dataset/train/frame_0380.png,train
frames_dataset/train/frame_0382.png,train
frames_dataset/train/frame_0383.png,train
frames_dataset/train/frame_0392.png,train
frames_dataset/train/frame_0393.png,train
frames_dataset/train/frame_0394.png,train
frames_dataset/train/frame_0395.png,train
frames_dataset/train/frame_0396.png,train
frames_dataset/train/frame_0397.png,train
frames_dataset/train/frame_0398.png,train
frames_dataset/train/frame_0399.png,train
frames_dataset/train/frame_0430.png,train
frames_dataset/train/frame_0431.png,train
frames_dataset/train/frame_0432.png,train
frames_dataset/train/frame_0433.png,train
frames_dataset/train/frame_0434.png,train
frames_dataset/train/frame_0435.png,train
frames_dataset/train/frame_0436.png,train
frames_dataset/train/frame_0437.png,train
frames_dataset/train/frame_0438.png,train
frames_dataset/train/frame_0439.png,train
frames_dataset/train/frame_0440.png,train
frames_dataset/train/frame_0441.png,train
frames_dataset/train/frame_0442.png,train
frames_dataset/train/frame_0443.png,train
frames_dataset/train/frame_0444.png,train
frames_dataset/train/frame_0445.png,train
frames_dataset/train/frame_0446.png,train
frames_dataset/train/frame_0447.png,train
frames_dataset/train/frame_0448.png,train
frames_dataset/train/frame_0449.png,train
frames_dataset/train/frame_0450.png,train
frames_dataset/train/frame_0451.png,train
frames_dataset/train/frame_0452.png,train
frames_dataset/train/frame_0453.png,train
frames_dataset/train/frame_0454.png,train
frames_dataset/train/frame_0455.png,train
frames_dataset/train/frame_0456.png,train
frames_dataset/train/frame_0457.png,train
frames_dataset/train/frame_0458.png,train
frames_dataset/train/frame_0459.png,train
frames_dataset/train/frame_0460.png,train
frames_dataset/train/frame_0461.png,train
frames_dataset/train/frame_0462.png,train
